Date,Open,High,Low,Close,Volume
2017-01-03,2251.57,2263.88,2245.13,2257.83,2094738889
2017-01-04,2261.6,2272.82,2261.6,2270.75,2091605556
2017-01-05,2268.18,2271.5,2260.45,2269,2089900000
2017-01-06,2271.14,2282.1,2264.06,2276.98,1855494444
2017-01-09,2273.59,2275.49,2268.9,2268.9,1787561111
2017-01-10,2269.72,2279.27,2265.27,2268.9,2021550000
2017-01-11,2268.6,2275.32,2260.83,2275.32,2011338889
2017-01-12,2271.14,2271.78,2254.25,2270.44,1923405556
2017-01-13,2272.74,2278.68,2271.51,2274.64,1711816667
2017-01-17,2269.14,2272.08,2262.81,2267.89,1991661111
2017-01-18,2269.14,2272.01,2263.35,2271.89,1841805556
2017-01-19,2271.9,2274.33,2258.41,2263.69,1758872222
2017-01-20,2269.96,2276.96,2265.01,2271.31,1958316667
2017-01-23,2267.78,2271.78,2257.02,2265.2,1751505556
2017-01-24,2267.88,2284.63,2266.68,2280.07,2117200000
2017-01-25,2288.88,2299.55,2288.88,2298.37,2136677778
2017-01-26,2298.63,2300.99,2294.08,2296.68,2005755556
2017-01-27,2299.02,2299.02,2291.62,2294.69,1742161111
2017-01-30,2286.01,2286.01,2268.04,2280.9,1995150000
2017-01-31,2274.02,2279.09,2267.21,2278.87,2270805556
2017-02-01,2285.59,2289.14,2272.44,2279.55,2175894444
2017-02-02,2276.69,2283.97,2271.65,2280.85,2115394444
2017-02-03,2288.54,2298.31,2287.88,2297.42,1998872222
2017-02-06,2294.28,2296.18,2288.57,2292.56,1727250000
2017-02-07,2295.87,2299.4,2290.16,2293.08,1915938889
2017-02-08,2289.55,2295.91,2285.38,2294.67,2005411111
2017-02-09,2296.7,2311.08,2296.61,2307.87,2043300000
2017-02-10,2312.27,2319.23,2311.1,2316.1,1930566667
2017-02-13,2321.72,2331.58,2321.42,2328.25,1860961111
2017-02-14,2326.12,2337.58,2322.17,2337.58,1956061111
2017-02-15,2335.58,2351.3,2334.81,2349.25,2097550000
2017-02-16,2349.64,2351.31,2338.87,2347.22,2040205556
2017-02-17,2343.01,2351.16,2339.58,2351.16,1951700000
2017-02-21,2354.91,2366.71,2354.91,2365.38,1988766667
2017-02-22,2361.11,2365.13,2358.34,2362.82,1927038889
2017-02-23,2367.5,2368.26,2355.09,2363.81,2230700000
2017-02-24,2355.73,2367.34,2352.87,2367.34,2128650000
2017-02-27,2365.23,2371.54,2361.87,2369.75,1990338889
2017-02-28,2366.08,2367.79,2358.96,2363.64,2338966667
2017-03-01,2380.13,2400.98,2380.13,2395.96,2413988889
2017-03-02,2394.75,2394.75,2380.17,2381.92,2122955556
2017-03-03,2380.92,2383.89,2375.39,2383.12,1975144444
2017-03-06,2375.23,2378.8,2367.98,2375.31,1795944444
2017-03-07,2370.74,2375.12,2365.51,2368.39,1954661111
2017-03-08,2369.81,2373.09,2361.01,2362.98,2117833333
2017-03-09,2363.49,2369.08,2354.54,2364.87,2064633333
2017-03-10,2372.52,2376.86,2363.04,2372.6,1907194444
2017-03-13,2371.56,2374.42,2368.52,2373.47,1741055556
2017-03-14,2368.55,2368.55,2358.18,2365.45,1762572222
2017-03-15,2370.34,2390.01,2368.94,2385.26,2170466667
2017-03-16,2387.71,2388.1,2377.18,2381.38,1869811111
2017-03-17,2383.71,2385.71,2377.64,2378.25,2876688889
2017-03-20,2378.24,2379.55,2369.66,2373.47,1697183333
2017-03-21,2379.32,2381.93,2341.9,2344.02,2369772222
2017-03-22,2343,2351.81,2336.45,2348.45,1984850000
2017-03-23,2345.97,2358.92,2342.13,2345.96,1811444444
2017-03-24,2350.42,2356.22,2335.74,2343.98,1652850000
2017-03-27,2329.11,2344.9,2322.25,2341.59,1800127778
2017-03-28,2339.79,2363.78,2337.63,2358.57,1870988889
2017-03-29,2356.54,2363.36,2352.94,2361.13,1726077778
2017-03-30,2361.31,2370.42,2358.58,2368.06,1754677778
2017-03-31,2364.82,2370.35,2362.6,2362.72,1863394444
2017-04-03,2362.34,2365.87,2344.73,2358.84,1898000000
2017-04-04,2354.76,2360.53,2350.72,2360.16,1781244444
2017-04-05,2366.59,2378.36,2350.52,2352.95,2094733333
2017-04-06,2353.79,2364.16,2348.9,2357.49,1778844444
2017-04-07,2356.59,2363.76,2350.74,2355.54,1696194444
2017-04-10,2357.16,2366.37,2351.5,2357.16,1547450000
2017-04-11,2353.92,2355.22,2337.25,2353.78,1731900000
2017-04-12,2352.15,2352.72,2341.18,2344.93,1776083333
2017-04-13,2341.98,2348.26,2328.95,2328.95,1746605556
2017-04-17,2332.62,2349.14,2332.51,2349.01,1569283333
2017-04-18,2342.53,2348.35,2334.54,2342.19,1816577778
2017-04-19,2346.79,2352.63,2335.05,2338.17,1955500000
2017-04-20,2342.69,2361.37,2340.91,2355.84,2026344444
2017-04-21,2354.74,2356.18,2344.51,2348.69,1946311111
2017-04-24,2370.33,2376.98,2369.19,2374.15,2050361111
2017-04-25,2381.51,2392.48,2381.15,2388.61,2219577778
2017-04-26,2388.98,2398.16,2386.78,2387.45,2281066667
2017-04-27,2389.7,2392.1,2382.68,2388.77,2276922222
2017-04-28,2393.68,2393.68,2382.36,2384.2,2065705556
2017-05-01,2388.5,2394.49,2384.83,2388.33,1777355556
2017-05-02,2391.05,2392.93,2385.82,2391.17,2118711111
2017-05-03,2386.5,2389.82,2379.75,2388.13,2163327778
2017-05-04,2389.79,2391.43,2380.35,2389.52,2423633333
2017-05-05,2392.37,2399.29,2389.38,2399.29,1966744444
2017-05-08,2399.94,2401.36,2393.92,2399.38,1905244444
2017-05-09,2401.58,2403.87,2392.44,2396.92,2029772222
2017-05-10,2396.79,2399.74,2392.79,2399.63,2024183333
2017-05-11,2394.84,2395.72,2381.74,2394.44,2070788889
2017-05-12,2392.44,2392.44,2387.19,2390.9,1836461111
2017-05-15,2393.98,2404.05,2393.94,2402.32,1929777778
2017-05-16,2404.55,2405.77,2396.05,2400.67,1900438889
2017-05-17,2382.95,2384.87,2356.21,2357.03,2312777778
2017-05-18,2354.69,2375.74,2352.72,2365.72,2399677778
2017-05-19,2371.37,2389.06,2370.43,2381.73,2125088889
2017-05-22,2387.21,2395.46,2386.92,2394.02,1762683333
2017-05-23,2397.04,2400.85,2393.88,2398.42,1785316667
2017-05-24,2401.41,2405.58,2397.99,2404.39,1883277778
2017-05-25,2409.54,2418.71,2408.01,2415.07,1964105556
2017-05-26,2414.5,2416.68,2412.2,2415.82,1558355556
2017-05-30,2411.67,2415.26,2409.43,2412.91,1779533333
2017-05-31,2415.63,2415.99,2403.59,2411.8,2508950000
2017-06-01,2415.65,2430.06,2413.54,2430.06,2142855556
2017-06-02,2431.28,2440.23,2427.71,2439.07,1923155556
2017-06-05,2437.83,2439.55,2434.32,2436.1,1618111111
2017-06-06,2431.92,2436.21,2428.12,2429.33,1865466667
