date,fear_greed_index
2017.1.3,70
2017.1.4,70
2017.1.5,70
2017.1.6,68
2017.1.9,62
2017.1.10,62
2017.1.11,61
2017.1.12,55
2017.1.13,58
2017.1.17,58
2017.1.18,55
2017.1.19,53
2017.1.20,53
2017.1.23,55
2017.1.24,59
2017.1.25,55
2017.1.26,58
2017.1.27,60
2017.1.30,55
2017.1.31,54
2017.2.1,55
2017.2.2,51
2017.2.3,60
2017.2.6,57
2017.2.7,57
2017.2.8,61
2017.2.9,66
2017.2.10,70
2017.2.13,72
2017.2.14,78
2017.2.15,80
2017.2.16,79
2017.2.17,78
2017.2.21,83
2017.2.22,80
2017.2.23,75
2017.2.24,68
2017.2.27,71
2017.2.28,64
2017.3.1,81
2017.3.2,78
2017.3.3,77
2017.3.6,69
2017.3.7,65
2017.3.8,65
2017.3.9,62
2017.3.10,65
2017.3.13,64
2017.3.14,58
2017.3.15,50
2017.3.16,51
2017.3.17,45
2017.3.20,43
2017.3.21,37
2017.3.22,32
2017.3.23,31
2017.3.24,31
2017.3.27,27
2017.3.28,39
2017.3.29,39
2017.3.30,43
2017.3.31,47
2017.4.3,45
2017.4.4,43
2017.4.5,43
2017.4.6,43
2017.4.7,40
2017.4.10,32
2017.4.11,31
2017.4.12,28
2017.4.13,25
2017.4.17,30
2017.4.18,32
2017.4.19,30
2017.4.20,34
2017.4.21,37
2017.4.24,39
2017.4.25,46
2017.4.26,48
2017.4.27,50
2017.4.28,49
2017.5.1,51
2017.5.2,47
2017.5.3,47
2017.5.4,45
2017.5.5,47
2017.5.8,55
2017.5.9,61
2017.5.10,61
2017.5.11,63
2017.5.12,62
2017.5.15,54
2017.5.16,66
2017.5.17,45
2017.5.18,47
2017.5.19,49
2017.5.22,52
2017.5.23,49
2017.5.24,54
2017.5.25,57
2017.5.26,58
2017.5.30,52
2017.5.31,50
2017.6.1,58
2017.6.2,57
2017.6.5,58
2017.6.6,55
2017.6.7,55
2017.6.8,55
2017.6.9,54
2017.6.12,53
2017.6.13,55
2017.6.14,52
2017.6.15,52
2017.6.16,50
2017.6.19,57
2017.6.20,50
2017.6.21,47
