Dataset,Method,Type,Model,MSE
A,-,-,GRU,4186.02783203125
A,-,-,Ridge,480.31279647926056
B,bodyText,pca,GRU,233.02203369140625
B,bodyText,pca,Ridge,0.767326483569294
B,chunking,pca,GRU,258.7062072753906
B,chunking,pca,Ridge,0.7674633019212571
B,headlines,pca,GRU,264.1061706542969
B,headlines,pca,Ridge,0.7667355803538695
B,paragraphs,pca,GRU,619.7410278320312
B,paragraphs,pca,Ridge,0.7671933169228966
C,bodyText,pca,GRU,359.7639465332031
C,bodyText,pca,Ridge,0.7676098241009147
C,chunking,pca,GRU,493.90234375
C,chunking,pca,Ridge,0.7677664945697957
C,headlines,pca,GRU,412.79986572265625
C,headlines,pca,Ridge,0.7668627751245934
C,paragraphs,pca,GRU,265.9576110839844
C,paragraphs,pca,Ridge,0.7674787833721639
D,bodyText,pca,GRU,922.7307739257812
D,bodyText,pca,Ridge,0.7672645551847207
D,chunking,pca,GRU,642.5145263671875
D,chunking,pca,Ridge,0.7674539462816369
D,headlines,pca,GRU,1450.06396484375
D,headlines,pca,Ridge,0.7665192421462517
D,paragraphs,pca,GRU,445.8575439453125
D,paragraphs,pca,Ridge,0.767112961634356
