person,slug,2017,2018,2019,total
Fatou Bensouda,fatou_bensouda,13,24,21,58
Bob Bland,bob_bland,1191,973,945,3109
Savannah Guthrie,savannah_guthrie,194,268,204,666
Ronan Farrow,ronan_farrow,193,299,291,783
Linda Sarsour,linda_sarsour,729,647,694,2070
Ava DuVernay,ava_duvernay,124,149,130,403
Cyril Ramaphosa,cyril_ramaphosa,139,151,149,439
Mohamed bin Zayed,mohamed_bin_zayed,1804,2169,1998,5971
Leila de Lima,leila_de_lima,446,458,441,1345
Peggy Whitson,peggy_whitson,162,127,131,420
King Maha Vajiralongkorn,king_maha_vajiralongkorn,190,199,200,589
Indya Moore,indya_moore,1641,1357,1348,4346
Julian Assange,julian_assange,1270,1280,1460,4010
Conor McGregor,conor_mcgregor,745,585,609,1939
Constance Wu,constance_wu,202,215,236,653
Maxine Waters,maxine_waters,1831,1545,1672,5048
George Church,george_church,830,596,603,2029
Samantha Bee,samantha_bee,803,767,697,2267
Joanna Gaines,joanna_gaines,463,377,530,1370
Chadwick Boseman,chadwick_boseman,78,225,140,443
Christopher Wylie,christopher_wylie,2216,1990,1837,6043
Guillermo del Toro,guillermo_del_toro,948,1071,947,2966
Satya Nadella,satya_nadella,14,14,21,49
Cindy Sherman,cindy_sherman,261,267,267,795
Chance the Rapper,chance_the_rapper,842,912,1039,2793
Carl June,carl_june,856,715,747,2318
Mohammed bin Salman,mohammed_bin_salman,1901,1846,1849,5596
Hamdi Ulukaya,hamdi_ulukaya,12,14,14,40
Chip Gaines,chip_gaines,1135,965,1015,3115
Hoda Kotb,hoda_kotb,4,17,29,50
Ezra Levin,ezra_levin,254,222,288,764
Zhang Kejian,zhang_kejian,129,84,158,371
Imran Khan,imran_khan,1602,1493,1375,4470
Grainne Griffin,grainne_griffin,345,229,290,864
Dwayne Johnson,dwayne_johnson,372,339,1341,2052
Radhya Almutawakel,radhya_almutawakel,5,1,3,9
Ben Platt,ben_platt,294,283,222,799
Tamika Mallory,tamika_mallory,28,23,67,118
Elizabeth Warren,elizabeth_warren,2806,2382,3288,8476
Kevin Durant,kevin_durant,150,142,152,444
Ren Zhengfei,ren_zhengfei,71,59,95,225
dream hampton,dream_hampton,338,339,313,990
Desmond Meade,desmond_meade,246,236,151,633
Barbara Rae-Venter,barbara_rae_venter,898,896,841,2635
Jordan Peele,jordan_peele,1790,1843,1838,5471
Donald Glover,donald_glover,863,572,440,1875
Arundhati Katju,arundhati_katju,43,24,25,92
Matteo Salvini,matteo_salvini,172,597,677,1446
Caster Semenya,caster_semenya,142,165,221,528
Cameron Kasky,cameron_kasky,55,59,55,169
Moon Jae in,moon_jae_in,1458,1440,1484,4382
Thelma Aldana,thelma_aldana,63,56,79,198
Alex Wind,alex_wind,323,390,360,1073
David Adjaye,david_adjaye,658,532,462,1652
Regina King,regina_king,243,269,301,813
Hoesung Lee,hoesung_lee,76,77,64,217
Jeanne Gang,jeanne_gang,1385,1698,1499,4582
Greta Gerwig,greta_gerwig,89,205,950,1244
Yuriko Koike,yuriko_koike,16,8,11,35
Mark Zuckerberg,mark_zuckerberg,606,827,622,2055
Glenda Gray,glenda_gray,835,655,788,2278
